PRES,BU,PLOT,MONDATE,SPCODE,IND,COVER,LAST BURN,MON_YEAR,BURN_YEAR
ABRP,32,9,7/31/1995,HW,2,1.53,6/15/1993,1995,1993
ABRP,32,9,7/31/1995,PE,0,0,6/15/1993,1995,1993
ABRP,32,9,7/31/1995,PP,0,0,6/15/1993,1995,1993
ABRP,32,9,7/31/1995,QE,3,1.94,6/15/1993,1995,1993
ABRP,32,9,7/31/1995,QL,4,4.51,6/15/1993,1995,1993
ABRP,32,9,7/31/1995,QU,0,0,6/15/1993,1995,1993
ABRP,32,10,7/27/1995,HW,1,0.58,6/15/1993,1995,1993
ABRP,32,10,7/27/1995,PE,0,0,6/15/1993,1995,1993
ABRP,32,10,7/27/1995,PP,0,0,6/15/1993,1995,1993
ABRP,32,10,7/27/1995,QE,0,0,6/15/1993,1995,1993
ABRP,32,10,7/27/1995,QL,0,0,6/15/1993,1995,1993
ABRP,32,10,7/27/1995,QU,0,0,6/15/1993,1995,1993
ABRP,32,11,7/27/1995,HW,1,1.55,6/15/1993,1995,1993
ABRP,32,11,7/27/1995,PE,0,0,6/15/1993,1995,1993
ABRP,32,11,7/27/1995,PP,0,0,6/15/1993,1995,1993
ABRP,32,11,7/27/1995,QE,1,1.56,6/15/1993,1995,1993
ABRP,32,11,7/27/1995,QL,3,1.89,6/15/1993,1995,1993
ABRP,32,11,7/27/1995,QU,0,0,6/15/1993,1995,1993
ABRP,7,1,7/31/1996,HW,4,784,4/30/1994,1995,1993
ABRP,7,1,7/31/1996,PE,0,0,4/30/1994,1995,1993
ABRP,7,1,7/31/1996,QE,0,0,4/30/1994,1995,1993
ABRP,7,1,7/31/1996,QL,3,253,4/30/1994,1995,1993
ABRP,7,1,7/31/1996,QU,13,2508,4/30/1994,1996,1993
ABRP,7,2,8/1/1996,HW,3,86,4/30/1994,1996,1993
ABRP,7,2,8/1/1996,PE,0,0,4/30/1994,1996,1993
ABRP,7,2,8/1/1996,QE,1,10,4/30/1994,1996,1993
ABRP,7,2,8/1/1996,QL,1,40,4/30/1994,1996,1993
ABRP,7,2,8/1/1996,QU,4,161,4/30/1994,1996,1993
ABRP,7,3,8/2/1996,HW,4,275,4/30/1994,1996,1993
ABRP,7,3,8/2/1996,PE,0,0,4/30/1994,1996,1993
ABRP,7,3,8/2/1996,QE,1,296,4/30/1994,1996,1993
ABRP,7,3,8/2/1996,QU,3,380,4/30/1994,1996,1993
ABRP,7,3,8/2/1996,QL,3,395,4/30/1994,1996,1993
